filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
cwe,filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_66a.c,1.2304,0.0013,0.0017,20.0139,20.0140,1337,1233,31,2
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_66b.c,1.1791,0.0013,0.0015,20.0142,20.0145,1337,1267,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_67a.c,1.2294,0.0013,0.0016,20.0133,20.0144,1484,1325,28,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_67b.c,1.2949,0.0013,0.0024,20.0143,20.0139,1461,1246,29,1
CWE369,CWE369_Divide_by_Zero__int_fgets_modulo_68a.c,1.2770,0.0016,0.0017,20.0139,20.0141,1536,1310,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_01.c,1.2192,0.0014,0.0014,20.0142,20.0153,1511,1441,31,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_09.c,1.1936,0.0012,0.0012,20.0115,20.0118,603,539,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_04.c,1.1988,0.0012,0.0012,20.0114,20.0116,605,505,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_12.c,1.2061,0.0012,0.0012,20.0114,20.0117,607,503,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_05.c,1.2248,0.0012,0.0012,20.0114,20.0119,594,506,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_10.c,1.2567,0.0012,0.0011,20.0116,20.0121,564,502,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_17.c,1.2013,0.0012,0.0012,20.0115,20.0118,558,494,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_03.c,1.2025,0.0012,0.0013,20.0114,20.0116,623,504,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_18.c,1.2647,0.0012,0.0012,20.0114,20.0118,628,508,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_06.c,1.2753,0.0014,0.0012,20.0115,20.0119,558,495,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_08.c,1.1960,0.0012,0.0012,20.0114,20.0118,589,497,30,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_15.c,1.2094,0.0012,0.0012,20.0114,20.0119,560,472,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_16.c,1.2315,0.0012,0.0012,20.0115,20.0117,571,521,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_13.c,1.2234,0.0012,0.0012,20.0114,20.0118,549,536,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_07.c,1.2315,0.0011,0.0012,20.0116,20.0117,591,531,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_14.c,1.2269,0.0012,0.0012,20.0114,20.0118,609,476,30,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_02.c,1.2242,0.0012,0.0011,20.0113,20.0116,599,500,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_11.c,1.2244,0.0012,0.0012,20.0122,20.0120,558,498,29,2
CWE369,CWE369_Divide_by_Zero__float_fscanf_21.c,1.3049,0.0015,0.0013,20.0142,20.0139,1548,1276,35,3
CWE369,CWE369_Divide_by_Zero__float_fscanf_22a.c,1.3031,0.0015,0.0016,20.0131,20.0146,1335,1219,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_22b.c,1.2645,0.0017,0.0015,20.0144,20.0142,1503,1160,29,1
CWE369,CWE369_Divide_by_Zero__float_fscanf_45.c,1.2582,0.0014,0.0013,20.0136,20.0135,1415,1172,28,1
